ID1;ID;D;SD;MATERIAL;COUNTRY;SITE;PERIOD;REFERENCE;SC
;Gif-6722;6530;70;;Italy;Grotta Sant’Angelo ;neolithic;Fiorentino 13;IT2OST
;Gif-6724;6890;70;seed;Italy;Grotta Sant’Angelo ;neolithic;;IT2OST
;Gif-6725;6900;80;;Italy;Torre Canne ;neolithic;Fiorentino 13;IT2TCA
;Gif-7054;5820;70;;Italy;Scamuso ;neolithic;Fiorentino 13;IT2SCA
;Gif-7055;6810;80;;Italy;Scamuso;neolithic;Fiorentino 13;IT2SCA
;Gif-7057;6040;70;;Italy;Scamuso ;neolithic;Fiorentino 13;IT2SCA
;Gif-7345;6600;120;;Italy;Scamuso ;neolithic;Fiorentino 13;IT2SCA
;Gif-7346;6320;80;;Italy;Scamuso ;neolithic;Fiorentino 13;IT2SCA
;GrA-14106;8045;60;bone;Italy;Edera;mesolithic;;IT2EDE
;GrA-14108;9930;50;charcoal;Italy;Edera;mesolithic;;IT2EDE
27281;GrA-17112;8100;60;;Italy;Edera;mesolithic;Biagi 2002;IT2EDE
;GrM-12416;6184;18;bone;Italy;Ostiano-Dugali Alt;neolithic;Biagi et al 2020;IT2OSTI
;GrM-12418;6090;188;bone;Italy;Vho Campo Cerseole;neolithic;Biagi et al 2020;IT2CACE
;GrM-12690;5895;35;bone;Italy;Vho Campo Cerseole;neolithic;Biagi et al 2020;IT2CACE
;GrM-15257;6130;25;bone;Italy;Ostiano-Dugali Alt;neolithic;Biagi et al 2020;IT2OSTI
;GrM-15259;6190;25;bone;Italy;Vho Campo Cerseole;neolithic;Biagi et al 2020;IT2CACE
2327;GrN-10311;6560;40;charcoal;Croatia;Gudnja;neolithic;Muller 1991, 345;HR2GUD
2323;GrN-10312;6415;40;charcoal;Croatia;Gudnja;neolithic;Muller 1991, 345;HR2GUD
2324;GrN-10313;6520;40;charcoal;Croatia;Gudnja;neolithic;Muller 1991, 345;HR2GUD
2325;GrN-10314;6935;50;charcoal;Croatia;Gudnja ;neolithic;Muller 1991, 345;HR2GUD
2326;GrN-10315;7170;70;charcoal;Croatia;Gudnja ;neolithic;Muller 1991, 345;HR2GUD
27282;GrN-11818;8250;50;charcoal;Italy;Edera;mesolithic;Biagi 2002;IT2EDE
27283;GrN-14106;8045;40;bone;Italy;Edera;mesolithic;Biagi 2002;IT2EDE
2451;GrN-15236;6980;160;charcoal;Croatia;Tinj-Podlivade;neolithic;Muller 1991, 345;HR2TIN
2452;GrN-15237;6670;260;charcoal;Croatia;Tinj-Podlivade;neolithic;Muller 1991, 345;HR2TIN
2453;GrN-15238;6280;210;charcoal;Croatia;Tinj-Podlivade;neolithic;Muller 1991, 345;HR2TIN
;GrN-19838*;6690;180;bone;Italy;Fiorano;neolithic;Starnini 17;IT2FIO
;GrN-19839*;6540;60;bone;Italy;Fiorano;neolithic;Starnini 17;IT2FIO
;GrN-2056;9880;100;;Italy;Grotta Romanelli;mesolithic;Lo Vetro 2016;IT2GROROM
;GrN-211818;8250;50;seed/fruit;Italy;Edera;mesolithic;;IT2EDE
27284;GrN-23129;6590;100;charcoal;Italy;Edera;neolithic;Biagi 2001;IT2EDE
;GrN-23130;9810;70;charcoal;Italy;Edera;mesolithic;;IT2EDE
;GrN-23645;5850;80;charcoal;Italy;Isorella;neolithic;Starnini 17;IT2ISOR
27286;GrN-25137;8060;70;charcoal;Italy;Edera;mesolithic;Biagi 2002;IT2EDE
27287;GrN-25138;8110;90;charcoal;Italy;Edera;mesolithic;Biagi 2002;IT2EDE
27288;GrN-25139;8350;120;charcoal;Italy;Edera;mesolithic;Biagi 2002;IT2EDE
27289;GrN-25474;6480;40;marine shell;Italy;Edera;neolithic;Biagi 2002 questions marine reservoir correction;IT2EDE
;GrN-8012;3610;60;charcoal;Italy;Monte Covolo;neolithic;;IT2MCOV
27756;GrN-8013;4010;40;charcoal;Italy;Monte Covolo;neolithic;--;﻿IT2MCOV
;Gx-18756;5305;90;wood;Italy;Palu di Livenza;neolithic;;IT2PAL
;GX-18757;6720;130;wood;Italy;Palu di Livenza;neolithic;;IT2PAL
;Gx-18758;5395;90;wood;Italy;Palu di Livenza;neolithic;;IT2PAL
;Gx-18759;3210;265;wood;Italy;Palu di Livenza;neolithic;;IT2PAL
;GX-19019;4680;325;charcoal;Italy;Edera;neolithic;;IT2EDE
;GX-19020;5555;270;charcoal;Italy;Edera;neolithic;;IT2EDE
;GX-19021;4695;165;charcoal;Italy;Edera;neolithic;;IT2EDE
27290;GX-19022;6305;285;charcoal;Italy;Edera;neolithic;Biagi 2002;IT2EDE
;GX-19567;6445;210;charcoal;Italy;Edera;neolithic;;IT2EDE
27291;GX-19568;6615;390;charcoal;Italy;Edera;neolithic;Biagi 2002;IT2EDE
27292;GX-19569;6700;120;charcoal;Italy;Edera;neolithic;Biagi 2002;IT2EDE
;GX-21231;9495;50;charcoal;Italy;Palughetto;mesolithic;;IT2PALUG
;GX-21788;9185;240;charcoal;Italy;Mondeval de Sora;mesolithic;;IT2MDS
;GX-21797;8445;50;charcoal;Italy;Mondeval de Sora;mesolithic;;IT2MDS
;Gx-22103;5880;105;wood;Italy;Palu di Livenza;neolithic;;IT2PAL
;Gx-22104;5130;145;wood;Italy;Palu di Livenza;neolithic;;IT2PAL
;Gx-23010;5230;95;wood;Italy;Palu di Livenza;neolithic;;IT2PAL
;GX-27748;9160;90;charcoal;Italy;Mondeval de Sora;mesolithic;;IT2MDS
;GXO-771;7670;120;;Greece;Sidari;neolithic;(Berger J.-F., et al., 2014);GR2SID
;GXO-772;7340;180;;Greece;Sidari;neolithic;(Berger J.-F., et al., 2014);GR2SID
;HAR-2710;5930;100;;Italy;Monte Maulo;neolithic;(G. Barker, 1995);IT2MOMAU
2355;Hd-11733;6140;65;bone;Croatia;Medulin - Vižula;neolithic;Muller 1991, 345;HR2MED
2447;Hd-11773;6740;55;bone;Croatia;Škarin Samograd;neolithic;Muller 1991, 345;HR2SKA
2449;Hd-11885;6780;180;bone;Croatia;Škarin Samograd;neolithic;Muller 1991, 345;HR2SKA
45682;Hd-11950;6780;50;bone;Croatia;Škarin Samograd;neolithic;Bonsall 2013;HR2SKA
2247;Hd-11952;6600;110;;Croatia;Škarin Samograd;neolithic;RADON;HR2SKA
2356;Hd-12093;6850;175;bone;Croatia;Medulin - Vižula;neolithic;Muller 1991, 345;HR2MED
2448;Hd-12094;6750;55;bone;Croatia;Škarin Samograd;neolithic;Muller 1991, 345;HR2SKA
2450;Hd-12269;6600;100;bone;Croatia;Škarin Samograd;neolithic;Muller 1991, 345;HR2SKA
2412;Hd-12842;6290;65;seed/fruit;Croatia;Pokrovnik;neolithic;Muller 1991, 345;HR2POK
;Hd-23489;6106;32;charcoal;;Pavia di Udine;neolithic;;IT2PAU
;Hd-23518;5983;24;charcoal;Italy;Sammardenchia;neolithic;;IT2SAM
;Hd-23536;6129;20;charcoal;Italy;Sammardenchia;neolithic;;IT2SAM
;Hd-23544;6128;21;charcoal;Italy;Sammardenchia;neolithic;;IT2SAM
;I-;6310;210;charcoal;Italy;Savignano;neolithic;Starnini 17;IT2SAV
;I-11445;6170;110;charchoal;Italy;Vho di Piadena;neolithic;Starnini 17;IT2VHO
;I-11816;4195;95;charcoal;Italy;Spilamberto;neolithic;;IT2SPILA
;I-11817;4995;100;charcoal;Italy;Spilamberto;neolithic;;IT2SPILA
;KIA-10287;6679;54;;Italy;Serra Cicora ;neolithic;Fiorentino 13;IT2SCI
27993;KIA-10362;7283;38;charcoal;Italy;Riparo Gaban;neolithic;Gehlen 2010;﻿IT2GAB
27994;KIA-10363;6968;41;charcoal;Italy;Riparo Gaban;mesolithic;Gehlen 2010;﻿IT2GAB
27995;KIA-10364;7971;42;charcoal;Italy;Riparo Gaban;mesolithic;Gehlen 2010;﻿IT2GAB
27996;KIA-10365;8323;63;charcoal;Italy;Riparo Gaban;mesolithic;Gehlen 2010;﻿IT2GAB
27997;KIA-10366;7725;49;charcoal;Italy;Riparo Gaban;mesolithic;Gehlen 2010;﻿IT2GAB
27998;KIA-10367;7902;55;charcoal;Italy;Riparo Gaban;mesolithic;Gehlen 2010;﻿IT2GAB
27999;KIA-10368;8193;66;charcoal;Italy;Riparo Gaban;mesolithic;Gehlen 2010;﻿IT2GAB
28000;KIA-10369;8509;44;charcoal;Italy;Riparo Gaban;mesolithic;Gehlen 2010;﻿IT2GAB
28001;KIA-10370;8847;57;charcoal;Italy;Riparo Gaban;mesolithic;Gehlen 2010;﻿IT2GAB
;KIA-13293;5648;34;;Italy;Serra  Cicora ;neolithic;Fiorentino 13;IT2SCI
;KIA-13413;5864;47;;Italy;Le Macchie ;neolithic;Fiorentino 13;IT2LMA
;KIA-13414;5783;39;;Italy;Balsignano ;neolithic;Fiorentino 13;IT2BAL
35688;KIA-15283;5778;31;bone;Croatia;Monkodonja;neolithic;Hansel;HR2MON
35690;KIA-15284;4977;33;bone;Croatia;Monkodonja;neolithic;Hansel;HR2MON
;kiA-19424;4440;35;human bone;Montenegro;Gruda Boljevića;neolithic;forenbaher 18;MT2GRB
35714;KIA-28984;4005;45;bone;Croatia;Monkodonja;neolithic;Hansel;HR2MON
;KIA-30554;6038;31;charcoal;Italy;La Vela;neolithic;;IT2LAV
;KIA-30555;5988;31;charcoal;Italy;La Vela;neolithic;;IT2LAV
;KIA-30571;5843;36;charcoal;Italy;Le Corone;neolithic;;IT2LECO
;KIA-30572;5966;33;charcoal;Italy;Le Corone;neolithic;;IT2LECO
;KIA-30574;5889;33;charcoal;Italy;Le Corone;neolithic;;IT2LECO
35719;KIA-33490;3885;30;bone;Croatia;Monkodonja;neolithic;Hansel;HR2MON
;KIA-a;5508;50;;Italy;Balsignano ;neolithic;Fiorentino 13;IT2BAL
;KIA-b;6565;29;;Italy;Balsignano ;neolithic;Fiorentino 13;IT2BAL
;KIA-c;6602;30;;Italy;Balsignano ;neolithic;Fiorentino 13;IT2BAL
;LJ-1448;6860;45;;Italy;Torre Sabea;neolithic;Fiorentino 13;IT2TSA
27937;LJ-4548;7110;140;charcoal;Italy;Rendina;neolithic;M�ller 1994, 356;﻿IT2REND
27938;LJ-4549;6760;100;charcoal;Italy;Rendina;neolithic;M�ller 1994, 356;﻿IT2REND
27939;LJ-4550;6530;150;charcoal;Italy;Rendina;neolithic;M�ller 1994, 356;﻿IT2REND
27940;LJ-4551;6900;150;charcoal;Italy;Rendina;neolithic;M�ller 1994, 356;﻿IT2REND
28160;LJ-4649;6720;100;charcoal;Italy;Scaloria;neolithic;--;﻿IT2SCL
28161;LJ-4650;6490;140;charcoal;Italy;Scaloria;neolithic;--;﻿IT2SCL
28162;LJ-4651;6330;90;charcoal;Italy;Scaloria;neolithic;--;﻿IT2SCL
28163;LJ-4980;6410;150;charcoal;Italy;Scaloria;neolithic;--;﻿IT2SCL
28164;LJ-4981;6530;260;charcoal;Italy;Scaloria;neolithic;--;﻿IT2SCL
;LJ-4982;9650;140;charcoal;Italy;Scaloria ;mesolithic;;IT2SCL
28166;LJ-4983;6120;80;charcoal;Italy;Scaloria;neolithic;--;﻿IT2SCL
;LJ5095;6400;80;;Italy;Scaloria ;neolithic;Fiorentino 13;IT2SCL
28167;LJ-5095;6400;80;charcoal;Italy;Scaloria;neolithic;--;﻿IT2SCL
28168;LJ-5096;6290;90;charcoal;Italy;Scaloria;neolithic;--;﻿IT2SCL
28169;LJ-5097;6290;90;charcoal;Italy;Scaloria;neolithic;--;﻿IT2SCL
;LJ-5098;9030;120;charcoal;Italy;Scaloria ;mesolithic;;IT2SCL
;LJ-6670;6670;100;;Italy;Rendina;neolithic;;IT2REND
;LTL-010A;5690;44;;Italy;Serra  Cicora ;neolithic;Fiorentino 13;IT2SCI
;LTL-026A;6762;55;;Italy;Serra Cicora ;neolithic;Fiorentino 13;IT2SCI
;LTL-029A;5531;52;;Italy;Serra  Cicora ;neolithic;Fiorentino 13;IT2SCI
;LTL-033A;5591;44;;Italy;Serra  Cicora ;neolithic;Fiorentino 13;IT2SCI
;LTL-048A;5665;30;;Italy;Carpignano  Salentino ;neolithic;Fiorentino 13;IT2CSA
;LTL-1060A;6352;60;;Italy;Oria Sant’Anna  ;neolithic;Fiorentino 13;IT2OSA
;-1061,00 LTL;6600;60;;Italy;Oria Sant’Anna ;neolithic;Fiorentino 13;IT2OSA
;LTL-1062A;6442;50;;Italy;Oria Sant’Anna ;neolithic;Fiorentino 13;IT2OSA
;LTL-1143A;5863;55;charcoal;;Pavia di Udine;neolithic;;IT2PAU
;LTL-1144A;5761;65;charcoal;;Pavia di Udine;neolithic;;IT2PAU
;LTL-1212A;6542;45;;Italy;Lama  Balice ;neolithic;Fiorentino 13;IT2LBA
;LTL12390A;9442;60;charcoal;Italy;Collechio;mesolithic;;IT2COLLE
;LTL-126A;5660;60;;Italy;Carpignano  Salentino ;neolithic;Fiorentino 13;IT2CSA
;LTL-13694A;8139;45;char;Italy;Seiser Alm;mesolithic;Kompatscher et al 2020;IT2SEAL
;LTL-13695A;8945;45;char;Italy;Seiser Alm;mesolithic;Kompatscher et al 2020;IT2SEAL
;LTL-138A;5923;110;;Italy;Balsignano ;neolithic;Fiorentino 13;IT2BAL
;LTL-139A;6148;45;;Italy;Balsignano ;neolithic;Fiorentino 13;IT2BAL
;LTL-14024A;8605;60;char;Italy;Seiser Alm;mesolithic;Kompatscher et al 2020;IT2SEAL
;LTL-140A;6523;45;;Italy;Balsignano ;neolithic;Fiorentino 13;IT2BAL
;LTL-14119A;8433;50;charcoal;Italy;Casera Staulanza;mesolithic;;IT2CASTA
;LTL-142A;7134;60;;Italy;Pulo di Molfetta;neolithic;Fiorentino 13;IT2PUL
;LTL-145A;5686;37;;Italy;Serra  Cicora ;neolithic;Fiorentino 13;IT2SCI
;LTL-14818A;8615;50;char;Italy;Seiser Alm;mesolithic;Kompatscher et al 2020;IT2SEAL
;LTL-14921A;8788;55;char;Italy;Seiser Alm;mesolithic;Kompatscher et al 2020;IT2SEAL
;LTL-1504A;6110;65;charcoal;Italy;Sammardenchia;neolithic;;IT2SAM
;LTL-1508A;5942;70;charcoal;Italy;Sammardenchia;neolithic;;IT2SAM
;LTL-157A;5575;55;;Italy;Serra  Cicora ;neolithic;Fiorentino 13;IT2SCI
;LTL-15954A;8862;65;char;Italy;Seiser Alm;mesolithic;Kompatscher et al 2020;IT2SEAL
;LTL-15955A;8868;65;char;Italy;Seiser Alm;mesolithic;Kompatscher et al 2020;IT2SEAL
;LTL-15956A;7664;60;char;Italy;Seiser Alm;mesolithic;Kompatscher et al 2020;IT2SEAL
;LTL-15957A;8492;60;char;Italy;Seiser Alm;mesolithic;Kompatscher et al 2020;IT2SEAL
;LTL-15958A;8659;65;char;Italy;Seiser Alm;mesolithic;Kompatscher et al 2020;IT2SEAL
;LTL-16669A;6678;50;char;Italy;Seiser Alm;mesolithic;Kompatscher et al 2020;IT2SEAL
;LTL-16670A;6632;40;char;Italy;Seiser Alm;mesolithic;Kompatscher et al 2020;IT2SEAL
27943;LTL-16676A;6910;40;seed/fruit;Italy;Ripa Tetta;neolithic;Manen 2019;IT2RIP
27944;LTL-16677A;6988;45;seed/fruit;Italy;Ripa Tetta;neolithic;Manen 2019;IT2RIP
;LTL-1725A;6306;75;;Italy;Defensola ;neolithic;Fiorentino 13;IT2DEF
;LTL-1727A;6277;45;;Italy;San Marco ;neolithic;Fiorentino 13;IT2SMA
;LTL-17468A;9159;75;char;Italy;Seiser Alm;mesolithic;Kompatscher et al 2020;IT2SEAL
;LTL-17586A;8452;45;char;Italy;Seiser Alm;mesolithic;Kompatscher et al 2020;IT2SEAL
;LTL-17588A;9048;45;char;Italy;Seiser Alm;mesolithic;Kompatscher et al 2020;IT2SEAL
;LTL-17589A;8351;45;char;Italy;Seiser Alm;mesolithic;Kompatscher et al 2020;IT2SEAL
;LTL-18504A;8385;55;char;Italy;Seiser Alm;mesolithic;Kompatscher et al 2020;IT2SEAL
;LTL-221A;6785;40;;Italy;Serra  Cicora ;neolithic;Fiorentino 13;IT2SCI
;LTL-2657A;6562;50;;Italy;La Torretta ;neolithic;Fiorentino 13;IT2LTA
;LTL-2658A;6385;50;;Italy;La Torretta ;neolithic;Fiorentino 13;IT2LTA
;LTL-2659A;6320;50;;Italy;La Torretta ;neolithic;Fiorentino 13;IT2LTA
;LTL-2715A;5822;45;;Italy;Valle Guarigli ;neolithic;Fiorentino 13;IT2VAG
;LTL-2716A;6341;55;;Italy;Defensola ;neolithic;Fiorentino 13;IT2DEF
;LTL-2717A;6551;40;;Italy;Defensola ;neolithic;Fiorentino 13;IT2DEF
;LTL-2718A;6035;60;;Italy;Defensola ;neolithic;Fiorentino 13;IT2DEF
;LTL-2719A;5746;45;;Italy;Defensola ;neolithic;Fiorentino 13;IT2DEF
;LTL-2836A;5216;40;;Italy;Pulo di Molfetta ;neolithic;Fiorentino 13;IT2PUL
;LTL-2961A;5728;45;;Italy;Casino San Matteo ;neolithic;Fiorentino 13;IT2CSM
;LTL-2962A;5618;45;;Italy;Casino San Matteo ;neolithic;Fiorentino 13;IT2CSM
;LTL3042A;4884;50;charcoal;Italy;Latsch;neolithic;Festi;IT2LATSCH
;LTL3043A;5126;45;charcoal;Italy;Latsch;neolithic;Festi;IT2LATSCH
;3044,00 LTL;5081;40;charcoal;Italy;Latsch;neolithic;Festi;IT2LATSCH
;LTL3045A;4378;60;charcoal;Italy;Latsch;neolithic;Festi;IT2LATSCH
;LTL3046A;4572;40;charcoal;Italy;Latsch;neolithic;Festi;IT2LATSCH
;LTL-3810A;6764;60;bone ovis;Italy;Pulo di Molfetta;neolithic;;IT2PUL
;LTL-4247A;6127;40;seed;;Pavia di Udine;neolithic;;IT2PAU
;LTL-4249A;6112;45;seed;;Pavia di Udine;neolithic;;IT2PAU
;LTL-4250A;6106;40;seed;;Pavia di Udine;neolithic;;IT2PAU
;LTL-4252A;5743;45;seed;;Pavia di Udine;neolithic;;IT2PAU
;LTL-4253A;6077;40;seed;;Pavia di Udine;neolithic;;IT2PAU
;LTL-4254A;5560;45;seed;;Pavia di Udine;neolithic;;IT2PAU
;LTL-427A;6739;60;;Italy;Porto Badisco ;neolithic;Fiorentino 13;ITPBA
;LTL-437A;6334;50;;Italy;Defensola ;neolithic;Fiorentino 13;IT2DEF
;LTL-438A;6417;55;;Italy;Defensola ;neolithic;Fiorentino 13;IT2DEF
;LTL-4500A;6741;50;;Italy;Defensola ;neolithic;Fiorentino 13;IT2DEF
;LTL-4536A;6983;50;bone ovis;Italy;Pulo di Molfetta;neolithic;;IT2PUL
;LTL-4577A;6290;45;;Italy;Defensol ;neolithic;Fiorentino 13;IT2DEF
;LTL-5187A;6576;45;;Italy;Palata ;neolithic;Fiorentino 13;IT2PAL
;LTL-5188A;6561;50;;Italy;Palata ;neolithic;Fiorentino 13;IT2PAL
;LTL6147A;9643;70;seed;Italy;Collechio;mesolithic;;IT2COLLE
;LTL-620A;5018;60;;Italy;Mass. Stevanato ;neolithic;Fiorentino 13;IT2STE
;LTL-621A;5244;55;;Italy;Mass. Stevanato ;neolithic;Fiorentino 13;IT2STE
;LTL-622A;5190;35;;Italy;Mass.  Stevanato  ;neolithic;Fiorentino 13;IT2STE
;LTL-623A;5115;50;;Italy;Mass. Stevanato;neolithic;Fiorentino 13;IT2STE
;LTL-624A;5149;55;;Italy;Mass. Stevanato ;neolithic;Fiorentino 13;IT2STE
;LTL-950A;6069;55;charcoal;;Pavia di Udine;neolithic;;IT2PAU
;LTL-955A;6063;50;charcoal;Italy;Sammardenchia;neolithic;;IT2SAM
;LTL-956A;6231;60;charcoal;Italy;Sammardenchia;neolithic;;IT2SAM
;LTL-958A;5982;50;charcoal;Italy;Sammardenchia;neolithic;;IT2SAM
;LTL-959A;6027;50;charcoal;Italy;Sammardenchia;neolithic;;IT2SAM
;LTL-961A;5978;55;charcoal;Italy;Sammardenchia;neolithic;;IT2SAM
;LTL-962A;6059;50;charcoal;Italy;Sammardenchia;neolithic;;IT2SAM
;LTL-964A;6000;40;charcoal;Italy;Sammardenchia;neolithic;;IT2SAM
;LTL-966A;5871;50;charcoal;Italy;Sammardenchia;neolithic;;IT2SAM
;LTL-967A;6060;50;charcoal;Italy;Sammardenchia;neolithic;;IT2SAM
;Ly-3896;6810;150;;Italy;Trasano;neolithic;;IT2TRA
;Ly-3951(OxA);6840;35;seed;Italy;Trasano;neolithic;;IT2TRA
;Ly-3955 (OxA);6935;40;seed;Italy;Trasano;neolithic;;IT2TRA
;Ly-4002;6590;140;;Italy;Torre Sabea ;neolithic;Fiorentino 13;IT2TSA
;Ly-4408;6710;270;;Italy;Trasano;neolithic;;IT2TRA
;Ly-4409;6950;190;;Italy;Trasano;neolithic;;IT2TRA
;Ly-4410;6830;190;;Italy;Trasano;neolithic;;IT2TRA
;Ly-4975;5530;110;;Albania;Maliq;neolithic;;AL2MAL
;Ly-5296;6950;150;;Italy;Trasano;neolithic;;IT2TRA
;Ly-5297;7030;160;;Italy;Trasano;neolithic;;IT2TRA
;Ly-5300;6940;270;;Italy;Trasano;neolithic;;IT2TRA
;Lyon-3168;7460;40;;Greece;Sidari;neolithic;(Berger J.-F., et al., 2014);GR2SID
;Lyon-3169;7530;70;;Greece;Sidari;neolithic;(Berger J.-F., et al., 2014);GR2SID
;Lyon-3170;7400;60;;Greece;Sidari;neolithic;(Berger J.-F., et al., 2014);GR2SID
;Lyon-3172;7370;80;;Greece;Sidari;neolithic;(Berger J.-F., et al., 2014);GR2SID
;Lyon-3173;7310;110;;Greece;Sidari;neolithic;(Berger J.-F., et al., 2014);GR2SID
;Lyon-3174;8000;90;;Greece;Sidari;mesolithic;(Berger J.-F., et al., 2014);GR2SID
;Lyon-3175;7470;90;;Greece;Sidari;neolithic;(Berger J.-F., et al., 2014);GR2SID
;Lyon-3175?;7480;70;;Greece;Sidari;neolithic;(Berger J.-F., et al., 2014);GR2SID
;Lyon-5633;7170;40;;Greece;Sidari;neolithic;(Berger J.-F., et al., 2014);GR2SID
;Lyon-5637;7500;60;;Greece;Sidari;neolithic;(Berger J.-F., et al., 2014);GR2SID
;MC-2290;6850;130;;Italy;Villa Comunale di Foggia;neolithic;Fiorentino 13;IT2VCO
;MC-2292;7125;50;;Italy;Mass. Giuffreda;neolithic;Fiorentino 13;IT2MAG
;N-88066;6960;130;;Italy;Torre Sabea;neolithic;Fiorentino 13;IT2TSA
28008;nd31;5100;120;;Italy;Ripoli;neolithic;--;IT2RIPOL
